tweet_id|created_at|author_id|author_username|author_geo|conversation_id|referenced_id|reference_type|pub_rt_cnt|pub_like_cnt|pub_rep_cnt|pub_qt_cnt|depth
1529124333917962249|2022-05-24T15:37:05.000Z|1344416719260016641|RepHerrell|New Mexico & Washington, DC|1529124333917962249|1528846228875640833|retweeted|54|0|0|0|0
1529165950431395841|2022-05-24T18:22:27.000Z|242926427|HerreraBeutler||1529165950431395841|||5|17|33|6|0
1529204824423731202|2022-05-24T20:56:56.000Z|2975091705|CongressmanHice|Greensboro, GA; Washington, DC|1529204824423731202|||31|189|145|8|0
1529203300117233664|2022-05-24T20:50:52.000Z|2975091705|CongressmanHice|Greensboro, GA; Washington, DC|1529203300117233664|1528812543950692354|retweeted|290|0|0|0|0
1529173378158014464|2022-05-24T18:51:58.000Z|2975091705|CongressmanHice|Greensboro, GA; Washington, DC|1529173378158014464|1529170323731533825|retweeted|371|0|0|0|0
1529092772925427713|2022-05-24T13:31:40.000Z|2975091705|CongressmanHice|Greensboro, GA; Washington, DC|1529092772925427713|1528872856460808192|retweeted|154|0|0|0|0
1529568404121731075|2022-05-25T21:01:40.000Z|33576489|RepBrianHiggins|WNY and Washington, DC|1529568404121731075|1529550992152346628|retweeted|3|0|0|0|0
1529555773226995712|2022-05-25T20:11:28.000Z|33576489|RepBrianHiggins|WNY and Washington, DC|1529555773226995712|||18|190|45|3|0
1529487563534352391|2022-05-25T15:40:26.000Z|33576489|RepBrianHiggins|WNY and Washington, DC|1529487563534352391|||2|2|2|0|0
1529459686831013888|2022-05-25T13:49:39.000Z|33576489|RepBrianHiggins|WNY and Washington, DC|1529459686831013888|||112|874|127|15|0
1529224544481083392|2022-05-24T22:15:17.000Z|33576489|RepBrianHiggins|WNY and Washington, DC|1529224544481083392|1529202121949818881|quoted|4|15|8|1|0
1529582703720419331|2022-05-25T21:58:29.000Z|843636970538618880|RepClayHiggins||1529582703720419331|||23|78|43|1|0
1529570017364348935|2022-05-25T21:08:04.000Z|843636970538618880|RepClayHiggins||1529570017364348935|||1|6|2|0|0
1529562449703223300|2022-05-25T20:38:00.000Z|843636970538618880|RepClayHiggins||1529562327363756032|1529562405373722626|replied_to|0|0|0|1|
1529562405373722626|2022-05-25T20:37:49.000Z|843636970538618880|RepClayHiggins||1529562327363756032|1529562327363756032|replied_to|0|4|1|0|
1529562327363756032|2022-05-25T20:37:31.000Z|843636970538618880|RepClayHiggins||1529562327363756032|||2|9|4|0|0
1529612191313403905|2022-05-25T23:55:39.000Z|2953974395|RepFrenchHill|Little Rock, AR|1529612191313403905|1529531070592466946|retweeted|3|0|0|0|0
1529581375044608000|2022-05-25T21:53:12.000Z|2953974395|RepFrenchHill|Little Rock, AR|1529581375044608000|1529542621240168450|quoted|15|50|20|4|0
1529553353092505606|2022-05-25T20:01:51.000Z|2953974395|RepFrenchHill|Little Rock, AR|1529553353092505606|||4|2|3|0|0
1529502834126995459|2022-05-25T16:41:07.000Z|2953974395|RepFrenchHill|Little Rock, AR|1529502834126995459|1529494854497185793|retweeted|1|0|0|0|0
1529197501303205897|2022-05-24T20:27:50.000Z|2953974395|RepFrenchHill|Little Rock, AR|1529197501303205897|1529196183440216064|quoted|1|1|1|1|0
1529581638291800066|2022-05-25T21:54:15.000Z|31611298|jahimes|CT and DC|1529581638291800066|1529560980811825153|retweeted|10|0|0|0|0
1529559188443127809|2022-05-25T20:25:03.000Z|1340783304304410625|RepAshleyHinson|Washington, DC|1529559188443127809|||2|8|13|0|0
1529532271832735747|2022-05-25T18:38:05.000Z|1340783304304410625|RepAshleyHinson|Washington, DC|1529532271832735747|||1|3|14|0|0
1529225461557264384|2022-05-24T22:18:56.000Z|1340783304304410625|RepAshleyHinson|Washington, DC|1529217908781551618|1529217908781551618|replied_to|1|10|53|2|
1529217908781551618|2022-05-24T21:48:55.000Z|1340783304304410625|RepAshleyHinson|Washington, DC|1529217908781551618|||7|27|155|20|0
1529173052889698305|2022-05-24T18:50:41.000Z|1340783304304410625|RepAshleyHinson|Washington, DC|1529173052889698305|||3|9|29|0|0
1529637200991772674|2022-05-26T01:35:02.000Z|389840566|RepHorsford|Nevada, USA|1529637200991772674|||3|13|6|1|0
1529585048390971393|2022-05-25T22:07:48.000Z|389840566|RepHorsford|Nevada, USA|1529585048390971393|||12|35|6|1|0
1529245455770701826|2022-05-24T23:38:23.000Z|389840566|RepHorsford|Nevada, USA|1529245455770701826|||5|11|3|0|0
1529667588392984576|2022-05-26T03:35:47.000Z|1052896620797460481|RepHoulahan|West Chester, PA|1529667588392984576|||2|4|1|0|0
