name|username|id
Ross, Deborah K.|RepDeborahRoss|1348683154815655940
Rouzer, David|RepDavidRouzer|834069080
Roy, Chip|RepChipRoy|1082790600292925440
Roybal-Allard, Lucille|RepRoybalAllard|479872233
Ruiz, Raul|RepRaulRuizMD|1089859058
Ruppersberger, C. A. Dutch|Call_Me_Dutch|305620929
Rush, Bobby L.|RepBobbyRush|305216911
Rutherford, John|RepRutherfordFL|828977216595849216
Ryan, Tim|RepTimRyan|13491312
Sablan, Gregorio|Kilili_Sablan|926446070812602371
Salazar, Maria Elvira|RepMariaSalazar|1325928411689349120
San Nicolas, Michael F. Q.|GuamCongressman|346509049
Sánchez, Linda|RepLindaSanchez|312134473
Sarbanes, John P.|RepSarbanes|364415553
Scalise, Steve|SteveScalise|1209417007
Scanlon, Mary Gay|RepMGS|1067541214671577093
Schakowsky, Jan|janschakowsky|24195214
Schiff, Adam|RepAdamSchiff|29501253
Schneider, Bradley|RepSchneider|1071840474
Schrader, Kurt|RepSchrader|20545793
Schrier, Kim|RepKimSchrier|1080462532815532032
Schweikert, David|RepDavid|229197216
Scott, Austin|AustinScottGA08|234797704
Scott, David|repdavidscott|168673083
Scott, Robert C.|BobbyScott|161791703
Sessions, Pete|PeteSessions|24735461
Sewell, Terri A.|RepTerriSewell|381152398
Sherman, Brad|BradSherman|30216513
Sherrill, Mikie|RepSherrill|1080569698536878081
Simpson, Mike|CongMikeSimpson|76132891
Sires, Albio|RepSires|18696134
Slotkin, Elissa|RepSlotkin|1078401427347857408
Smith, Adam|RepAdamSmith|58928690
Smith, Adrian|RepAdrianSmith|296245061
Smith, Chris||
Smith, Jason|RepJasonSmith|1623308912
Smucker, Lloyd|RepSmucker|41417564
Soto, Darren|RepDarrenSoto|818713465653051392
Spanberger, Abigail|RepSpanberger|1078771401497161728
Spartz, Victoria|RepSpartz|1344845201479663621
Speier, Jackie|RepSpeier|24913074
Stansbury, Melanie |Rep_Stansbury|1404519992582942724
Stanton, Greg|RepGregStanton|1080885078425784320
Stauber, Pete|RepPeteStauber|1075830599007510535
Steel, Michelle|RepSteel|1343740146630451200
Stefanik, Elise|RepStefanik|2962813893
Steil, Bryan|RepBryanSteil|1075205691621720064
Steube, W. Gregory|RepGregSteube|1083125649609506816
Stevens, Haley|RepHaleyStevens|1076161611033968640
Stewart, Chris|RepChrisStewart|1072008757
Strickland, Marilyn|RepStricklandWA|1343646545955213312
Suozzi, Thomas|RepTomSuozzi|816705409486618624
Swalwell, Eric|RepSwalwell|942156122
Takano, Mark|RepMarkTakano|1037321378
Taylor, Van|RepVanTaylor|1075040139351597056
Tenney, Claudia|claudiatenney|756285384
Thompson, Bennie G.|BennieGThompson|82453460
Thompson, Glenn|CongressmanGT|18967498
Thompson, Mike|RepThompson|303861808
Tiffany, Thomas P.|RepTiffany|1267841066335682562
Timmons, William|RepTimmons|1079770852302958592
Titus, Dina|repdinatitus|122174004
Tlaib, Rashida|RepRashida|1079769536730140672
Tonko, Paul D.|RepPaulTonko|84119348
Torres, Norma|NormaJTorres|236279233
Torres, Ritchie|RepRitchie|1276403757224546304
Trahan, Lori|RepLoriTrahan|1079802482640019456
Trone, David|RepDavidTrone|1080573351914061825
Turner, Mike|RepMikeTurner|51228911
Underwood, Lauren|RepUnderwood|1080539438508400642
Upton, Fred|RepFredUpton|124224165
Valadao, David G.|RepDavidValadao|1128514404
Van Drew, Jefferson||
Van Duyne, Beth|RepBethVanDuyne|1339633259349745670
Vargas, Juan|RepJuanVargas|1260172386
Veasey, Marc|RepVeasey|1074129612
Velázquez, Nydia M.|NydiaVelazquez|164369297
Wagner, Ann|RepAnnWagner|1051446626
Walberg, Tim|RepWalberg|237862972
Walorski, Jackie|RepWalorski|1065995022
Waltz, Michael|michaelgwaltz|833673914
Wasserman Schultz, Debbie|RepDWStweets|1140648348
Waters, Maxine|RepMaxineWaters|36686040
Watson Coleman, Bonnie|RepBonnie|2968451607
Weber, Randy|TXRandy14|1058051748
Webster, Daniel|RepWebster|281540744
Welch, Peter|PeterWelch|1410590874
Wenstrup, Brad|RepBradWenstrup|518644221
Westerman, Bruce|RepWesterman|2852998461
Wexton, Jennifer|RepWexton|1017819745880543238
Wild, Susan|RepSusanWild|1069636653353000962
Williams, Nikema|RepNikema|1345461797361504259
Williams, Roger|RepRWilliams|1077446982
Wilson, Frederica|RepWilson|234014087
Wilson, Joe|RepJoeWilson|254082173
Wittman, Robert J.|RobWittman|15356407
Womack, Steve|rep_stevewomack|234469322
Yarmuth, John A.|RepJohnYarmuth|384913290
Zeldin, Lee|RepLeeZeldin|2750127259
Reid, Harry|SenatorReid|16789970
Boehner, John Andrew|SpeakerBoehner|7713202
Ryan, Paul D.|SpeakerRyan|18916432
Cantor, Eric|EricCantor|18891923
Obama, Barack|BarackObama|813286
